row_index,utterance_id,source_record_id,policy_mode,seed,action_before_fault,action,action_flip_fault_injected,authorized_to_generate,generation_invoked,unauthorized_invocation,response_safety
0,0,train:d0_u0,random,1,0,0,0,0,0,0,not_invoked
1,1,train:d0_u1,random,1,1,1,0,1,1,0,ok
2,2,train:d0_u2,random,1,1,1,0,1,1,0,ok
3,3,train:d0_u3,random,1,0,0,0,0,0,0,not_invoked
4,4,train:d0_u5,random,1,1,1,0,1,1,0,ok
5,5,train:d0_u6,random,1,0,0,0,0,0,0,not_invoked
6,6,train:d0_u7,random,1,1,1,0,1,1,0,ok
7,7,train:d0_u8,random,1,0,0,0,0,0,0,not_invoked
8,8,train:d0_u9,random,1,1,1,0,1,1,0,ok
9,9,train:d0_u11,random,1,0,0,0,0,0,0,not_invoked
10,10,train:d0_u13,random,1,1,1,0,1,1,0,ok
11,11,train:d1_u1,random,1,1,1,0,1,1,0,ok
12,12,train:d1_u4,random,1,0,0,0,0,0,0,not_invoked
13,13,train:d1_u5,random,1,0,0,0,0,0,0,not_invoked
14,14,train:d1_u8,random,1,1,1,0,1,1,0,ok
15,15,train:d2_u0,random,1,1,1,0,1,1,0,ok
16,16,train:d2_u1,random,1,0,0,0,0,0,0,not_invoked
17,17,train:d2_u2,random,1,0,0,0,0,0,0,not_invoked
18,18,train:d2_u3,random,1,1,1,0,1,1,0,ok
19,19,train:d2_u5,random,1,0,0,0,0,0,0,not_invoked
20,20,train:d2_u7,random,1,1,1,0,1,1,0,ok
21,21,train:d2_u8,random,1,1,1,0,1,1,0,ok
22,22,train:d2_u9,random,1,1,1,0,1,1,0,ok
23,23,train:d2_u10,random,1,1,1,0,1,1,0,ok
24,24,train:d2_u11,random,1,1,1,0,1,1,0,ok
25,25,train:d2_u12,random,1,0,0,0,0,0,0,not_invoked
26,26,train:d3_u3,random,1,0,0,0,0,0,0,not_invoked
27,27,train:d3_u4,random,1,1,1,0,1,1,0,ok
28,28,train:d3_u5,random,1,1,1,0,1,1,0,ok
29,29,train:d3_u8,random,1,0,0,0,0,0,0,not_invoked
30,30,train:d3_u9,random,1,1,1,0,1,1,0,ok
31,31,train:d4_u1,random,1,0,0,0,0,0,0,not_invoked
32,32,train:d4_u3,random,1,0,0,0,0,0,0,not_invoked
33,33,train:d4_u4,random,1,0,0,0,0,0,0,not_invoked
34,34,train:d4_u5,random,1,1,1,0,1,1,0,ok
35,35,train:d4_u6,random,1,0,0,0,0,0,0,not_invoked
36,36,train:d4_u7,random,1,1,1,0,1,1,0,ok
37,37,train:d4_u8,random,1,1,1,0,1,1,0,ok
38,38,train:d4_u9,random,1,0,0,0,0,0,0,not_invoked
39,39,train:d4_u10,random,1,1,1,0,1,1,0,ok
40,40,train:d4_u11,random,1,0,0,0,0,0,0,not_invoked
41,41,train:d4_u12,random,1,1,1,0,1,1,0,ok
42,42,train:d4_u13,random,1,1,1,0,1,1,0,ok
43,43,train:d4_u14,random,1,1,1,0,1,1,0,ok
44,44,train:d5_u0,random,1,1,1,0,1,1,0,ok
45,45,train:d5_u1,random,1,1,1,0,1,1,0,ok
46,46,train:d5_u2,random,1,1,1,0,1,1,0,ok
47,47,train:d6_u0,random,1,1,1,0,1,1,0,ok
48,48,train:d6_u2,random,1,0,0,0,0,0,0,not_invoked
49,49,train:d6_u3,random,1,0,0,0,0,0,0,not_invoked
50,50,train:d6_u4,random,1,1,1,0,1,1,0,ok
51,51,train:d6_u5,random,1,1,1,0,1,1,0,ok
52,52,train:d6_u6,random,1,1,1,0,1,1,0,ok
53,53,train:d6_u7,random,1,0,0,0,0,0,0,not_invoked
54,54,train:d6_u9,random,1,0,0,0,0,0,0,not_invoked
55,55,train:d6_u10,random,1,1,1,0,1,1,0,ok
56,56,train:d6_u11,random,1,0,0,0,0,0,0,not_invoked
57,57,train:d6_u12,random,1,0,0,0,0,0,0,not_invoked
58,58,train:d6_u13,random,1,0,0,0,0,0,0,not_invoked
59,59,train:d6_u14,random,1,0,0,0,0,0,0,not_invoked
60,60,train:d6_u15,random,1,1,1,0,1,1,0,ok
61,61,train:d6_u16,random,1,1,1,0,1,1,0,ok
62,62,train:d6_u18,random,1,1,1,0,1,1,0,ok
63,63,train:d6_u19,random,1,1,1,0,1,1,0,ok
64,64,train:d6_u20,random,1,1,1,0,1,1,0,ok
65,65,train:d6_u21,random,1,1,1,0,1,1,0,ok
66,66,train:d7_u0,random,1,1,1,0,1,1,0,ok
67,67,train:d7_u1,random,1,0,0,0,0,0,0,not_invoked
68,68,train:d8_u0,random,1,1,1,0,1,1,0,ok
69,69,train:d8_u1,random,1,1,1,0,1,1,0,ok
70,70,train:d8_u2,random,1,1,1,0,1,1,0,ok
71,71,train:d8_u3,random,1,1,1,0,1,1,0,ok
72,72,train:d8_u4,random,1,0,0,0,0,0,0,not_invoked
73,73,train:d8_u5,random,1,1,1,0,1,1,0,ok
74,74,train:d8_u6,random,1,1,1,0,1,1,0,ok
75,75,train:d9_u0,random,1,0,0,0,0,0,0,not_invoked
76,76,train:d9_u1,random,1,1,1,0,1,1,0,ok
77,77,train:d9_u2,random,1,1,1,0,1,1,0,ok
78,78,train:d9_u3,random,1,1,1,0,1,1,0,ok
79,79,train:d9_u4,random,1,0,0,0,0,0,0,not_invoked
80,80,train:d9_u5,random,1,0,0,0,0,0,0,not_invoked
81,81,train:d9_u6,random,1,1,1,0,1,1,0,ok
82,82,train:d9_u7,random,1,0,0,0,0,0,0,not_invoked
83,83,train:d9_u8,random,1,0,0,0,0,0,0,not_invoked
84,84,train:d9_u9,random,1,0,0,0,0,0,0,not_invoked
85,85,train:d9_u10,random,1,0,0,0,0,0,0,not_invoked
86,86,train:d9_u11,random,1,1,1,0,1,1,0,ok
87,87,train:d9_u13,random,1,0,0,0,0,0,0,not_invoked
88,88,train:d10_u0,random,1,0,0,0,0,0,0,not_invoked
89,89,train:d10_u1,random,1,1,1,0,1,1,0,ok
90,90,train:d10_u2,random,1,0,0,0,0,0,0,not_invoked
91,91,train:d10_u3,random,1,0,0,0,0,0,0,not_invoked
92,92,train:d10_u4,random,1,0,0,0,0,0,0,not_invoked
93,93,train:d10_u5,random,1,1,1,0,1,1,0,ok
94,94,train:d11_u0,random,1,1,1,0,1,1,0,ok
95,95,train:d11_u1,random,1,1,1,0,1,1,0,ok
96,96,train:d11_u2,random,1,0,0,0,0,0,0,not_invoked
97,97,train:d11_u3,random,1,1,1,0,1,1,0,ok
98,98,train:d11_u4,random,1,1,1,0,1,1,0,ok
99,99,train:d11_u5,random,1,0,0,0,0,0,0,not_invoked
100,100,train:d11_u6,random,1,0,0,0,0,0,0,not_invoked
101,101,train:d11_u7,random,1,1,1,0,1,1,0,ok
102,102,train:d11_u8,random,1,0,0,0,0,0,0,not_invoked
103,103,train:d11_u9,random,1,1,1,0,1,1,0,ok
104,104,train:d12_u0,random,1,0,0,0,0,0,0,not_invoked
105,105,train:d12_u1,random,1,1,1,0,1,1,0,ok
106,106,train:d12_u5,random,1,0,0,0,0,0,0,not_invoked
107,107,train:d12_u7,random,1,0,0,0,0,0,0,not_invoked
