utterance_id,text,label,split,Dialogue_ID,Utterance_ID,audio_path,video_embedding_path,state_path,has_text,has_audio,has_video,state_source
d0_u0,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,neutral,train,0,0,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia0_utt0.wav,data\processed\MELD_video_embeddings_arcface\train\dia0_utt0.npy,data/processed/MELD_state_embeddings_fixed\d0_u0.npy,True,True,False,text_audio
d0_u1,You must’ve had your hands full.,neutral,train,0,1,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia0_utt1.wav,data\processed\MELD_video_embeddings_arcface\train\dia0_utt1.npy,data/processed/MELD_state_embeddings_fixed\d0_u1.npy,True,True,False,text_audio
d0_u2,That I did. That I did.,neutral,train,0,2,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia0_utt2.wav,data\processed\MELD_video_embeddings_arcface\train\dia0_utt2.npy,data/processed/MELD_state_embeddings_fixed\d0_u2.npy,True,True,False,text_audio
d0_u3,So let’s talk a little bit about your duties.,neutral,train,0,3,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia0_utt3.wav,data\processed\MELD_video_embeddings_arcface\train\dia0_utt3.npy,data/processed/MELD_state_embeddings_fixed\d0_u3.npy,True,True,False,text_audio
d0_u5,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",neutral,train,0,5,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia0_utt5.wav,data\processed\MELD_video_embeddings_arcface\train\dia0_utt5.npy,data/processed/MELD_state_embeddings_fixed\d0_u5.npy,True,True,False,text_audio
d0_u6,I see.,neutral,train,0,6,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia0_utt6.wav,data\processed\MELD_video_embeddings_arcface\train\dia0_utt6.npy,data/processed/MELD_state_embeddings_fixed\d0_u6.npy,True,True,False,text_audio
d0_u7,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,neutral,train,0,7,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia0_utt7.wav,data\processed\MELD_video_embeddings_arcface\train\dia0_utt7.npy,data/processed/MELD_state_embeddings_fixed\d0_u7.npy,True,True,False,text_audio
d0_u8,Good to know.,neutral,train,0,8,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia0_utt8.wav,data\processed\MELD_video_embeddings_arcface\train\dia0_utt8.npy,data/processed/MELD_state_embeddings_fixed\d0_u8.npy,True,True,False,text_audio
d0_u9,We can go into detail,neutral,train,0,9,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia0_utt9.wav,data\processed\MELD_video_embeddings_arcface\train\dia0_utt9.npy,data/processed/MELD_state_embeddings_fixed\d0_u9.npy,True,True,False,text_audio
d0_u11,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",neutral,train,0,11,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia0_utt11.wav,data\processed\MELD_video_embeddings_arcface\train\dia0_utt11.npy,data/processed/MELD_state_embeddings_fixed\d0_u11.npy,True,True,False,text_audio
d0_u13,Absolutely.  You can relax,neutral,train,0,13,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia0_utt13.wav,data\processed\MELD_video_embeddings_arcface\train\dia0_utt13.npy,data/processed/MELD_state_embeddings_fixed\d0_u13.npy,True,True,False,text_audio
d1_u1,You know? Forget it!,sad,train,1,1,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia1_utt1.wav,data\processed\MELD_video_embeddings_arcface\train\dia1_utt1.npy,data/processed/MELD_state_embeddings_fixed\d1_u1.npy,True,True,False,text_audio
d1_u4,Ok!,neutral,train,1,4,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia1_utt4.wav,data\processed\MELD_video_embeddings_arcface\train\dia1_utt4.npy,data/processed/MELD_state_embeddings_fixed\d1_u4.npy,True,True,False,text_audio
